title|url|sentence|label
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Skip to Main Content _ Sensor Network|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Maps &amp; Radar|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Severe Weather|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|News &amp; Blogs|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Mobile Apps|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Searchclosegps_fixed|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|gps_fixedFind Nearest Station Manage Favorite Cities|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|account_box Log in settings Settings Sensor NetworkMaps &amp; RadarSevere WeatherNews &amp; BlogsMobile AppsHistorical Weather|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Current Weather for Popular Cities San Francisco, CA warning54&nbsp;°FMostly Cloudy Manhattan, NY warning36&nbsp;°FFair Schiller Park, IL (60176) warning23&nbsp;°FPartly Cloudy Boston, MA warning33&nbsp;°FFair/Wind Houston, TX 50&nbsp;°FCloudy St James's, England, United Kingdom 38&nbsp;°FPartly Cloudy|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Searchclosegps_fixed|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|gps_fixedFind Nearest Station Manage Favorite Citiessettings|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|warningActive Warning: High Surf Warning&nbsp; (See More)|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Elev 39 ft, 37.78 °N, 122.42 °W San Francisco, CA 10-Day Weather Forecaststar_ratehome|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|"52&nbsp;°F South of Market Station|Report"|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Thank you for reporting this station. We will review the data in question.|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|You are about to report this weather station for bad data. Please select the information that is incorrect.|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Personal Weather Station|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|South of Market (KCASANFR1753)|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Location: San Francisco, CA|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Nearby Weather Stations|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Reset Map, or Add PWS. zoom out|0
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Today Hourly 10-Day Calendar History Wundermap |1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|10-Day TodayHourly10-DayCalendarHistoryWundermap|1
San Francisco, CA 10-Day Weather Forecast|https://www.wunderground.com/forecast/us/ca/san-francisco|Chart ViewSVGPan view|0
